Period End,Islamabad,Rawalpindi,Gujranwala,Lahore,Faisalabad,Multan,Karachi,Hyderabad,Peshawar,Quetta,Khuzdar,Pakistan
Weekly,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR 
14-Dec-23,282.2,282.19,282.2,282.2,282.2,282.22,282.19,283.49,282.2,282.13,282.2,282.44
7-Dec-23,282.2,282.19,282.2,282.2,282.2,282.22,282.19,283.49,282.2,282.13,282.2,282.44
30-Nov-23,282.2,282.19,282.2,282.2,282.2,282.22,282.19,283.49,282.2,282.13,282.2,282.44
23-Nov-23,282.2,282.19,282.2,282.2,282.2,282.22,282.19,283.49,282.2,282.13,282.2,282.44
16-Nov-23,282.2,282.19,282.2,282.2,282.2,282.22,282.19,283.49,282.2,282.13,282.2,282.44
8-Nov-23,284.26,284.21,284.3,284.26,284.2,284.29,284.25,285.65,284.26,284.2,284.26,284.51
2-Nov-23,284.26,284.21,284.3,284.26,284.2,284.29,284.25,285.65,284.26,284.2,284.26,284.51
26-Oct-23,284.26,284.21,284.3,284.26,284.2,284.29,284.25,285.65,284.26,284.2,284.26,284.51
19-Oct-23,284.26,284.21,284.3,284.26,284.2,284.29,284.25,285.65,284.26,284.2,284.26,284.51
12-Oct-23,324.22,324.19,324.3,324.22,324.22,324.25,324.22,325.46,324.2,324.2,324.22,324.45
5-Oct-23,324.22,324.19,324.3,324.22,324.22,324.25,324.22,325.46,324.2,324.2,324.22,324.45
27-Sep-23,332.18,332.15,332.2,332.2,332.2,332.22,332.2,333.4,332.2,332.1,332.2,332.42
21-Sep-23,332.18,332.15,332.2,332.2,332.2,332.22,332.2,333.4,332.2,332.1,332.2,332.42
14-Sep-23,306.15,306.12,306,306.15,306.15,306.24,306.15,307.33,306.1,305.96,306.15,306.36
7-Sep-23,306.15,306.12,306,306.15,306.15,306.24,306.15,307.33,306.1,305.96,306.15,306.36
31-Aug-23,291.22,291.2,291.2,291.22,291.2,291.27,291.21,292.35,291.21,291.05,291.22,291.44
24-Aug-23,291.22,291.2,291.2,291.22,291.2,291.27,291.21,292.35,291.21,291.05,291.22,291.44
17-Aug-23,291.22,291.2,291.2,291.22,291.2,291.27,291.21,292.35,291.21,291.05,291.22,291.44
10-Aug-23,273.69,273.7,273.7,273.68,273.6,273.76,273.68,274.8,273.7,273.55,273.7,273.91
3-Aug-23,273.69,273.7,273.7,273.68,273.6,273.76,273.68,274.8,273.7,273.55,273.7,273.91
26-Jul-23,253.73,253.73,253.8,253.74,253.7,253.76,253.74,254.88,253.8,253.6,253.75,253.96
20-Jul-23,253.73,253.73,253.8,253.74,253.7,253.76,253.74,254.88,253.8,253.6,253.75,253.96
13-Jul-23,262.75,262.76,262.8,262.78,262.7,262.79,262.74,263.87,262.75,262.6,262.79,262.89
6-Jul-23,262.75,262.76,262.8,262.78,262.7,262.79,262.74,263.87,262.75,262.6,262.79,262.89
22-Jun-23,262.75,262.76,262.8,262.78,262.7,262.79,262.74,263.87,262.75,262.6,262.79,262.89
15-Jun-23,262.75,262.76,262.8,262.78,262.7,262.79,262.74,263.87,262.75,262.6,262.79,262.89
8-Jun-23,262.75,262.76,262.8,262.78,262.7,262.79,262.74,263.87,262.75,262.6,262.79,262.89
1-Jun-23,262.75,262.76,262.8,262.78,262.7,262.79,262.74,263.87,262.75,262.6,262.79,262.89
25-May-23,270.78,270.74,270.8,270.78,270.7,270.78,270.79,271.94,270.78,270.6,270.79,270.91
18-May-23,270.78,270.74,270.8,270.78,270.7,270.78,270.79,271.94,270.78,270.6,270.79,270.91
11-May-23,282.78,282.75,282.8,282.8,282.8,282.78,282.79,283.96,282.75,282.6,282.79,282.9
4-May-23,282.78,282.75,282.8,282.8,282.8,282.78,282.79,283.96,282.75,282.6,282.79,282.9
27-Apr-23,282.78,282.75,282.8,282.8,282.8,282.78,282.79,283.96,282.75,282.6,282.79,282.9
19-Apr-23,282.78,282.75,282.8,282.8,282.8,282.78,282.79,283.96,282.75,282.6,282.79,282.9
13-Apr-23,272.77,272.72,272.8,272.8,272.8,272.73,272.77,273.9,272.75,272.58,272.77,272.89
6-Apr-23,272.77,272.72,272.8,272.8,272.8,272.73,272.77,273.9,272.75,272.58,272.77,272.89
30-Mar-23,272.77,272.72,272.8,272.8,272.8,272.73,272.77,273.9,272.75,272.58,272.77,272.89
22-Mar-23,272.77,272.72,272.8,272.8,272.8,272.73,272.77,273.9,272.75,272.58,272.77,272.89
16-Mar-23,272.77,272.72,272.8,272.8,272.8,272.73,272.77,273.9,272.75,272.58,272.77,272.89
9-Mar-23,267.77,267.73,267.8,267.8,267.7,267.78,267.77,268.87,267.75,267.7,267.75,267.96
2-Mar-23,267.77,267.73,267.8,267.8,267.7,267.78,267.77,268.87,267.75,267.7,267.75,267.96
23-Feb-23,272.75,272.71,272.7,272.71,272.7,272.76,272.75,273.78,272.72,272.7,272.74,272.86
16-Feb-23,272.75,272.71,272.7,272.71,272.7,272.76,272.75,273.78,272.72,272.7,272.74,272.86
9-Feb-23,250.5,250.5,250.6,250.5,250.5,250.55,250.5,251.6,250.5,250.5,250.5,250.74
2-Feb-23,250.5,250.5,250.6,250.5,250.5,250.55,250.5,251.6,250.5,250.5,250.5,250.74
26-Jan-23,215.51,215.51,215.6,215.51,215.5,215.58,215.51,216.49,215.46,215.5,215.51,215.74
19-Jan-23,215.51,215.51,215.6,215.51,215.5,215.58,215.51,216.49,215.46,215.5,215.51,215.74
12-Jan-23,215.51,215.51,215.6,215.51,215.5,215.58,215.51,216.49,215.46,215.5,215.51,215.74
5-Jan-23,215.51,215.51,215.6,215.51,215.5,215.58,215.51,216.49,215.46,215.5,215.51,215.74
29-Dec-22,215.51,215.51,215.6,215.51,215.5,215.58,215.51,216.49,215.46,215.5,215.51,215.74
22-Dec-22,215.51,215.51,215.6,215.51,215.5,215.58,215.51,216.49,215.46,215.5,215.51,215.74
15-Dec-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
8-Dec-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
1-Dec-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
24-Nov-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
17-Nov-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
10-Nov-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
3-Nov-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
27-Oct-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
20-Oct-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
13-Oct-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
6-Oct-22,225.53,225.53,225.6,225.53,225.5,225.58,225.55,226.74,225.6,225.5,225.53,225.78
29-Sep-22,238.16,238.14,238.2,238.16,238.1,238.21,238.16,239.24,238.16,237.96,238.16,238.4
22-Sep-22,238.16,238.14,238.2,238.16,238.1,238.21,238.16,239.24,238.16,237.96,238.16,238.4
15-Sep-22,236.7,236.68,236.7,236.77,236.7,236.75,236.71,237.82,236.7,236.51,236.71,236.98
8-Sep-22,236.7,236.68,236.7,236.77,236.7,236.75,236.71,237.82,236.7,236.51,236.71,236.98
1-Sep-22,236.7,236.68,236.7,236.77,236.7,236.75,236.71,237.82,236.7,236.51,236.71,236.98
25-Aug-22,234.63,234.59,234.7,234.63,234.6,234.61,234.63,235.67,234.63,234.44,234.63,234.92
18-Aug-22,234.63,234.59,234.7,234.63,234.6,234.61,234.63,235.67,234.63,234.44,234.63,234.92
11-Aug-22,227.86,227.85,227.9,227.9,227.8,227.87,227.87,228.96,227.86,227.72,227.86,228.16
4-Aug-22,227.86,227.85,227.9,227.9,227.8,227.87,227.87,228.96,227.86,227.72,227.86,228.16
28-Jul-22,230.88,230.86,230.9,230.9,230.95,231.01,230.91,232.03,230.9,230.77,230.89,231.14
21-Jul-22,230.88,230.86,230.9,230.9,230.95,231.01,230.91,232.03,230.9,230.77,230.89,231.14
14-Jul-22,249.35,249.29,249.4,249.5,249.3,249.38,249.39,250.3,249.38,249.27,249.39,249.63
6-Jul-22,249.35,249.29,249.4,249.5,249.3,249.38,249.39,250.3,249.38,249.27,249.39,249.63
30-Jun-22,234.45,234.42,234.5,234.53,234.4,234.42,234.46,235.34,234.4,234.42,234.45,234.71
23-Jun-22,234.45,234.42,234.5,234.53,234.4,234.42,234.46,235.34,234.4,234.42,234.45,234.71
16-Jun-22,234.45,234.42,234.5,234.53,234.4,234.42,234.46,235.34,234.4,234.42,234.45,234.71
9-Jun-22,210.38,210.36,210.4,210.3,210.3,210.39,210.39,211.24,210.38,210.39,210.38,210.63
2-Jun-22,180.38,180.36,180.4,180.38,180.3,180.38,180.39,181.32,180.38,180.39,180.38,180.62
26-May-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
19-May-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
12-May-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
28-Apr-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
21-Apr-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
14-Apr-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
7-Apr-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
31-Mar-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
24-Mar-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
17-Mar-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
10-Mar-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
3-Mar-22,150.35,150.36,150.4,150.6,150.35,150.38,150.36,151.19,150.35,150.39,150.36,150.63
24-Feb-22,160.34,160.34,160.4,160.6,160.38,160.38,160.35,161.09,160.34,160.39,160.34,160.63
17-Feb-22,160.34,160.34,160.4,160.6,160.38,160.38,160.35,161.09,160.34,160.39,160.34,160.63
10-Feb-22,148.31,148.31,148.31,148.3,148.3,148.36,148.32,149.07,148.31,148.36,148.31,148.57
3-Feb-22,148.31,148.31,148.31,148.3,148.3,148.36,148.32,149.07,148.31,148.36,148.31,148.57
27-Jan-22,148.31,148.31,148.31,148.3,148.3,148.36,148.32,149.07,148.31,148.36,148.31,148.57
20-Jan-22,148.31,148.31,148.31,148.3,148.3,148.36,148.32,149.07,148.31,148.36,148.31,148.57
13-Jan-22,145.3,145.32,145.3,145.3,145.33,145.36,145.31,146.1,145.3,145.35,145.31,145.56
6-Jan-22,145.3,145.32,145.3,145.3,145.33,145.36,145.31,146.1,145.3,145.35,145.31,145.56
30-Dec-21,141.32,141.31,141.3,141.32,141.3,141.36,141.33,142.26,141.31,141.35,144.46,141.76
23-Dec-21,141.32,141.31,141.3,141.32,141.3,141.36,141.33,142.26,141.31,141.35,144.46,141.76
16-Dec-21,141.32,141.31,141.3,141.32,141.3,141.36,141.33,142.26,141.31,141.35,144.46,141.76
9-Dec-21,146.29,146.33,146.3,146.29,146.3,146.34,146.3,147,146.29,146.35,149.24,146.75
2-Dec-21,146.29,146.33,146.3,146.29,146.3,146.34,146.3,147,146.29,146.35,149.24,146.75
25-Nov-21,146.29,146.33,146.3,146.29,146.3,146.34,146.3,147,146.29,146.35,149.24,146.75
18-Nov-21,146.29,146.33,146.3,146.29,146.3,146.34,146.3,147,146.29,146.35,149.24,146.75
11-Nov-21,146.29,146.33,146.3,146.29,146.3,146.34,146.3,147,146.29,146.35,149.24,146.75
4-Nov-21,138.28,138.29,138.3,138.27,138.3,138.3,138.28,138.99,138.27,138.32,141.28,138.73
28-Oct-21,138.28,138.29,138.3,138.27,138.3,138.3,138.28,138.99,138.27,138.32,141.28,138.73
21-Oct-21,138.28,138.29,138.3,138.27,138.3,138.3,138.28,138.99,138.27,138.32,141.28,138.73
14-Oct-21,127.78,127.8,127.8,127.7,127.8,127.84,127.79,128.49,127.78,127.83,130.77,128.23
7-Oct-21,127.78,127.8,127.8,127.7,127.8,127.84,127.79,128.49,127.78,127.83,130.77,128.23
30-Sep-21,123.79,123.81,123.8,123.8,123.76,123.88,123.79,124.63,123.79,123.83,126.86,124.25
23-Sep-21,123.79,123.81,123.8,123.8,123.76,123.88,123.79,124.63,123.79,123.83,126.86,124.25
16-Sep-21,123.79,123.81,123.8,123.8,123.76,123.88,123.79,124.63,123.79,123.83,126.86,124.25
9-Sep-21,118.79,118.81,118.8,118.8,118.8,118.83,118.8,119.73,118.79,118.83,121.86,119.25
2-Sep-21,118.79,118.81,118.8,118.8,118.8,118.83,118.8,119.73,118.79,118.83,121.86,119.25
26-Aug-21,120.29,120.31,120.3,120.29,120.3,120.42,120.3,121.24,120.29,120.33,123.35,120.76
12-Aug-21,120.29,120.31,120.3,120.29,120.3,120.42,120.3,121.24,120.29,120.33,123.35,120.76
5-Aug-21,120.29,120.31,120.3,120.29,120.3,120.42,120.3,121.24,120.29,120.33,123.35,120.76
2-Aug-21,118.79,118.81,118.8,118.8,118.8,118.83,118.8,119.73,118.79,118.83,121.86,119.25
29-Jul-21,118.58,118.6,118.6,118.5,118.6,118.66,118.59,119.33,118.6,118.62,121.69,119.05
15-Jul-21,113.2,113.21,113.2,113.2,113.2,113.26,113.21,113.97,113.2,113.22,116.4,113.67
8-Jul-21,113.2,113.21,113.2,113.2,113.2,113.26,113.21,113.97,113.2,113.22,116.4,113.67
1-Jul-21,113.2,113.21,113.2,113.2,113.2,113.26,113.21,113.97,113.2,113.22,116.4,113.67
24-Jun-21,111.2,111.22,111.2,111.33,111.22,111.24,111.22,112.05,111.2,111.22,114.4,111.68
17-Jun-21,111.2,111.22,111.2,111.33,111.22,111.24,111.22,112.05,111.2,111.22,114.4,111.68
10-Jun-21,109.08,109.1,109.1,109.1,109.09,109.12,109.09,109.89,109.08,109.09,112.3,109.61
3-Jun-21,109.08,109.1,109.1,109.1,109.09,109.12,109.09,109.89,109.08,109.09,112.3,109.61
27-May-21,109.08,109.1,109.1,109.1,109.09,109.12,109.09,109.89,109.08,109.09,112.3,109.61
20-May-21,109.08,109.1,109.1,109.1,109.09,109.12,109.09,109.89,109.08,109.09,112.3,109.61
6-May-21,109.08,109.1,109.1,109.1,109.09,109.12,109.09,109.89,109.08,109.09,112.3,109.61
29-Apr-21,109.08,109.1,109.1,109.1,109.09,109.12,109.09,109.89,109.08,109.09,112.3,109.61
22-Apr-21,109.08,109.1,109.1,109.1,109.09,109.12,109.09,109.89,109.08,109.09,112.3,109.61
15-Apr-21,110.87,110.89,110.9,110.8,110.8,110.88,110.88,111.72,110.87,110.88,114.12,111.37
8-Apr-21,110.87,110.89,110.9,110.8,110.8,110.88,110.88,111.72,110.87,110.88,114.12,111.37
1-Apr-21,110.87,110.89,110.9,110.8,110.8,110.88,110.88,111.72,110.87,110.88,114.12,111.37
25-Mar-21,112.42,112.43,112.4,112.42,112.4,112.4,112.43,113.34,112.41,112.43,115.61,112.9
18-Mar-21,112.42,112.43,112.4,112.42,112.4,112.4,112.43,113.34,112.41,112.43,115.61,112.9
11-Mar-21,112.42,112.43,112.4,112.42,112.4,112.4,112.43,113.34,112.41,112.43,115.61,112.9
4-Mar-21,112.42,112.43,112.4,112.42,112.4,112.4,112.43,113.34,112.41,112.43,115.61,112.9
25-Feb-21,112.42,112.43,112.4,112.42,112.4,112.4,112.43,113.34,112.41,112.43,115.61,112.9
18-Feb-21,112.42,112.43,112.4,112.42,112.4,112.4,112.43,113.34,112.41,112.43,115.61,112.9
11-Feb-21,112.42,112.43,112.4,112.42,112.4,112.4,112.43,113.34,112.41,112.43,115.61,112.9
4-Feb-21,112.42,112.43,112.4,112.42,112.4,112.4,112.43,113.34,112.41,112.43,115.61,112.9
28-Jan-21,109.71,109.71,109.7,109.71,109.7,109.7,109.72,110.56,109.71,109.7,112.46,110.16
21-Jan-21,109.71,109.71,109.7,109.71,109.7,109.7,109.72,110.56,109.71,109.7,112.46,110.16
14-Jan-21,106.5,106.51,106.5,106.51,106.5,106.55,106.53,107.38,106.51,106.51,108.76,106.93
7-Jan-21,106.5,106.51,106.5,106.51,106.5,106.55,106.53,107.38,106.51,106.51,108.76,106.93
31-Dec-20,104.19,104.2,104.2,104.21,104.2,104.27,104.21,105.09,104.19,104.18,107.32,104.68
24-Dec-20,104.19,104.2,104.2,104.21,104.2,104.27,104.21,105.09,104.19,104.18,107.32,104.68
17-Dec-20,104.19,104.2,104.2,104.21,104.2,104.27,104.21,105.09,104.19,104.18,107.32,104.68
10-Dec-20,101.19,101.2,101.2,101.19,101.2,101.2,101.2,102.01,101.19,101.16,104.32,101.66
3-Dec-20,101.19,101.2,101.2,101.19,101.2,101.2,101.2,102.01,101.19,101.16,104.32,101.66
26-Nov-20,101.19,101.2,101.2,101.19,101.2,101.2,101.2,102.01,101.19,101.16,104.32,101.66
19-Nov-20,101.19,101.2,101.2,101.19,101.2,101.2,101.2,102.01,101.19,101.16,104.32,101.66
12-Nov-20,102.9,102.9,102.9,102.9,102.9,102.9,102.91,103.69,102.9,102.87,106.03,103.39
5-Nov-20,102.9,102.9,102.9,102.9,102.9,102.9,102.91,103.69,102.9,102.87,106.03,103.39
